;gauge_ID;issue_date;issue_time;fc_date;fc_value
0;hybas_1122094130;2024-07-10;2024-07-10 13:47:13.848429+00:00;2024-07-09;27.185441970825195
1;hybas_1122094130;2024-07-10;2024-07-10 13:47:13.848429+00:00;2024-07-10;29.338598251342773
2;hybas_1122094130;2024-07-10;2024-07-10 13:47:13.848429+00:00;2024-07-11;28.90177345275879
3;hybas_1122094130;2024-07-10;2024-07-10 13:47:13.848429+00:00;2024-07-12;28.660863876342773
4;hybas_1122094130;2024-07-10;2024-07-10 13:47:13.848429+00:00;2024-07-13;28.53159523010254
5;hybas_1122094130;2024-07-10;2024-07-10 13:47:13.848429+00:00;2024-07-14;28.29604148864746
6;hybas_1122094130;2024-07-10;2024-07-10 13:47:13.848429+00:00;2024-07-15;28.134666442871094
7;hybas_1122094130;2024-07-10;2024-07-10 13:47:13.848429+00:00;2024-07-16;28.12953758239746
8;hybas_1122094130;2024-07-11;2024-07-11 16:05:27.007481+00:00;2024-07-10;28.949655532836914
9;hybas_1122094130;2024-07-11;2024-07-11 16:05:27.007481+00:00;2024-07-11;28.61947250366211
10;hybas_1122094130;2024-07-11;2024-07-11 16:05:27.007481+00:00;2024-07-12;28.267799377441406
11;hybas_1122094130;2024-07-11;2024-07-11 16:05:27.007481+00:00;2024-07-13;28.371259689331055
12;hybas_1122094130;2024-07-11;2024-07-11 16:05:27.007481+00:00;2024-07-14;28.19293785095215
13;hybas_1122094130;2024-07-11;2024-07-11 16:05:27.007481+00:00;2024-07-15;27.9719295501709
14;hybas_1122094130;2024-07-11;2024-07-11 16:05:27.007481+00:00;2024-07-16;27.863079071044922
15;hybas_1122094130;2024-07-11;2024-07-11 16:05:27.007481+00:00;2024-07-17;27.50176429748535
16;hybas_1122094130;2024-07-12;2024-07-12 13:19:57.059925+00:00;2024-07-11;28.471147537231445
17;hybas_1122094130;2024-07-12;2024-07-12 13:19:57.059925+00:00;2024-07-12;28.244813919067383
18;hybas_1122094130;2024-07-12;2024-07-12 13:19:57.059925+00:00;2024-07-13;28.153430938720703
19;hybas_1122094130;2024-07-12;2024-07-12 13:19:57.059925+00:00;2024-07-14;28.276206970214844
20;hybas_1122094130;2024-07-12;2024-07-12 13:19:57.059925+00:00;2024-07-15;28.06847381591797
21;hybas_1122094130;2024-07-12;2024-07-12 13:19:57.059925+00:00;2024-07-16;27.814125061035156
22;hybas_1122094130;2024-07-12;2024-07-12 13:19:57.059925+00:00;2024-07-17;27.43355941772461
23;hybas_1122094130;2024-07-12;2024-07-12 13:19:57.059925+00:00;2024-07-18;27.008647918701172
24;hybas_1122094130;2024-07-13;2024-07-13 13:36:29.747260+00:00;2024-07-12;28.159923553466797
25;hybas_1122094130;2024-07-13;2024-07-13 13:36:29.747260+00:00;2024-07-13;28.173913955688477
26;hybas_1122094130;2024-07-13;2024-07-13 13:36:29.747260+00:00;2024-07-14;28.138172149658203
27;hybas_1122094130;2024-07-13;2024-07-13 13:36:29.747260+00:00;2024-07-15;28.20085906982422
28;hybas_1122094130;2024-07-13;2024-07-13 13:36:29.747260+00:00;2024-07-16;27.946672439575195
29;hybas_1122094130;2024-07-13;2024-07-13 13:36:29.747260+00:00;2024-07-17;27.471994400024414
30;hybas_1122094130;2024-07-13;2024-07-13 13:36:29.747260+00:00;2024-07-18;26.973295211791992
31;hybas_1122094130;2024-07-13;2024-07-13 13:36:29.747260+00:00;2024-07-19;26.6381778717041
32;hybas_1122094130;2024-07-14;2024-07-14 13:52:49.807188+00:00;2024-07-13;28.10898780822754
33;hybas_1122094130;2024-07-14;2024-07-14 13:52:49.807188+00:00;2024-07-14;28.05730628967285
34;hybas_1122094130;2024-07-14;2024-07-14 13:52:49.807188+00:00;2024-07-15;28.030427932739258
35;hybas_1122094130;2024-07-14;2024-07-14 13:52:49.807188+00:00;2024-07-16;28.02945327758789
36;hybas_1122094130;2024-07-14;2024-07-14 13:52:49.807188+00:00;2024-07-17;27.596166610717773
37;hybas_1122094130;2024-07-14;2024-07-14 13:52:49.807188+00:00;2024-07-18;26.981605529785156
38;hybas_1122094130;2024-07-14;2024-07-14 13:52:49.807188+00:00;2024-07-19;26.62765884399414
39;hybas_1122094130;2024-07-14;2024-07-14 13:52:49.807188+00:00;2024-07-20;26.57575035095215
40;hybas_1122094130;2024-07-15;2024-07-15 14:08:27.904551+00:00;2024-07-14;27.920896530151367
41;hybas_1122094130;2024-07-15;2024-07-15 14:08:27.904551+00:00;2024-07-15;27.985628128051758
42;hybas_1122094130;2024-07-15;2024-07-15 14:08:27.904551+00:00;2024-07-16;27.798606872558594
43;hybas_1122094130;2024-07-15;2024-07-15 14:08:27.904551+00:00;2024-07-17;27.638824462890625
44;hybas_1122094130;2024-07-15;2024-07-15 14:08:27.904551+00:00;2024-07-18;27.081787109375
45;hybas_1122094130;2024-07-15;2024-07-15 14:08:27.904551+00:00;2024-07-19;26.910608291625977
46;hybas_1122094130;2024-07-15;2024-07-15 14:08:27.904551+00:00;2024-07-20;26.690702438354492
47;hybas_1122094130;2024-07-15;2024-07-15 14:08:27.904551+00:00;2024-07-21;25.913372039794922
48;hybas_1122094130;2024-07-16;2024-07-16 13:24:10.821260+00:00;2024-07-15;27.937679290771484
49;hybas_1122094130;2024-07-16;2024-07-16 13:24:10.821260+00:00;2024-07-16;27.8201961517334
50;hybas_1122094130;2024-07-16;2024-07-16 13:24:10.821260+00:00;2024-07-17;27.489622116088867
51;hybas_1122094130;2024-07-16;2024-07-16 13:24:10.821260+00:00;2024-07-18;27.176937103271484
52;hybas_1122094130;2024-07-16;2024-07-16 13:24:10.821260+00:00;2024-07-19;27.078767776489258
53;hybas_1122094130;2024-07-16;2024-07-16 13:24:10.821260+00:00;2024-07-20;26.912166595458984
54;hybas_1122094130;2024-07-16;2024-07-16 13:24:10.821260+00:00;2024-07-21;26.312896728515625
55;hybas_1122094130;2024-07-16;2024-07-16 13:24:10.821260+00:00;2024-07-22;26.40694236755371
56;hybas_1122094130;2024-07-17;2024-07-17 13:42:38.257001+00:00;2024-07-16;27.877817153930664
57;hybas_1122094130;2024-07-17;2024-07-17 13:42:38.257001+00:00;2024-07-17;27.272476196289062
58;hybas_1122094130;2024-07-17;2024-07-17 13:42:38.257001+00:00;2024-07-18;26.918724060058594
59;hybas_1122094130;2024-07-17;2024-07-17 13:42:38.257001+00:00;2024-07-19;27.027833938598633
60;hybas_1122094130;2024-07-17;2024-07-17 13:42:38.257001+00:00;2024-07-20;26.79328727722168
61;hybas_1122094130;2024-07-17;2024-07-17 13:42:38.257001+00:00;2024-07-21;26.347793579101562
62;hybas_1122094130;2024-07-17;2024-07-17 13:42:38.257001+00:00;2024-07-22;26.282835006713867
63;hybas_1122094130;2024-07-17;2024-07-17 13:42:38.257001+00:00;2024-07-23;25.781959533691406
64;hybas_1122094130;2024-07-18;2024-07-18 14:00:02.228064+00:00;2024-07-17;27.31623649597168
65;hybas_1122094130;2024-07-18;2024-07-18 14:00:02.228064+00:00;2024-07-18;26.756635665893555
66;hybas_1122094130;2024-07-18;2024-07-18 14:00:02.228064+00:00;2024-07-19;26.63304901123047
67;hybas_1122094130;2024-07-18;2024-07-18 14:00:02.228064+00:00;2024-07-20;26.76264190673828
68;hybas_1122094130;2024-07-18;2024-07-18 14:00:02.228064+00:00;2024-07-21;26.63973617553711
69;hybas_1122094130;2024-07-18;2024-07-18 14:00:02.228064+00:00;2024-07-22;26.578737258911133
70;hybas_1122094130;2024-07-18;2024-07-18 14:00:02.228064+00:00;2024-07-23;26.44778060913086
71;hybas_1122094130;2024-07-18;2024-07-18 14:00:02.228064+00:00;2024-07-24;25.85552215576172
72;hybas_1122094130;2024-07-19;2024-07-19 13:17:06.805878+00:00;2024-07-18;26.709239959716797
73;hybas_1122094130;2024-07-19;2024-07-19 13:17:06.805878+00:00;2024-07-19;26.490015029907227
74;hybas_1122094130;2024-07-19;2024-07-19 13:17:06.805878+00:00;2024-07-20;26.503520965576172
75;hybas_1122094130;2024-07-19;2024-07-19 13:17:06.805878+00:00;2024-07-21;26.644638061523438
76;hybas_1122094130;2024-07-19;2024-07-19 13:17:06.805878+00:00;2024-07-22;26.529165267944336
77;hybas_1122094130;2024-07-19;2024-07-19 13:17:06.805878+00:00;2024-07-23;26.305526733398438
78;hybas_1122094130;2024-07-19;2024-07-19 13:17:06.805878+00:00;2024-07-24;25.8682804107666
79;hybas_1122094130;2024-07-19;2024-07-19 13:17:06.805878+00:00;2024-07-25;25.72871971130371
80;hybas_1122094130;2024-07-20;2024-07-20 13:35:16.409764+00:00;2024-07-19;26.494365692138672
81;hybas_1122094130;2024-07-20;2024-07-20 13:35:16.409764+00:00;2024-07-20;26.619510650634766
82;hybas_1122094130;2024-07-20;2024-07-20 13:35:16.409764+00:00;2024-07-21;26.449825286865234
83;hybas_1122094130;2024-07-20;2024-07-20 13:35:16.409764+00:00;2024-07-22;26.621719360351562
84;hybas_1122094130;2024-07-20;2024-07-20 13:35:16.409764+00:00;2024-07-23;26.53140640258789
85;hybas_1122094130;2024-07-20;2024-07-20 13:35:16.409764+00:00;2024-07-24;25.730571746826172
86;hybas_1122094130;2024-07-20;2024-07-20 13:35:16.409764+00:00;2024-07-25;25.651264190673828
