;gauge_ID;issue_date;issue_time;fc_date;fc_value
52;hybas_1120641660;2024-10-05;2024-10-05 13:50:01.388590+00:00;2024-10-08;2934.26416015625
53;hybas_1120641660;2024-10-05;2024-10-05 13:50:01.388590+00:00;2024-10-09;2964.138916015625
54;hybas_1120641660;2024-10-05;2024-10-05 13:50:01.388590+00:00;2024-10-10;3051.114990234375
55;hybas_1120641660;2024-10-05;2024-10-05 13:50:01.388590+00:00;2024-10-11;3071.933349609375
56;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-05;3169.582275390625
57;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-06;3143.439453125
58;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-07;3056.822509765625
59;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-08;2956.05615234375
60;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-09;2965.861572265625
61;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-10;2993.049072265625
62;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-11;3005.71875
63;hybas_1120641660;2024-10-06;2024-10-06 13:37:09.453214+00:00;2024-10-12;3042.622802734375
64;hybas_1120641660;2024-10-06;2024-10-06 19:37:44.448023+00:00;2024-10-06;3025.266845703125
65;hybas_1120641660;2024-10-06;2024-10-06 19:37:44.448023+00:00;2024-10-07;2946.257080078125
66;hybas_1120641660;2024-10-06;2024-10-06 19:37:44.448023+00:00;2024-10-08;2867.303955078125
67;hybas_1120641660;2024-10-06;2024-10-06 19:37:44.448023+00:00;2024-10-09;2876.98583984375
68;hybas_1120641660;2024-10-06;2024-10-06 19:37:44.448023+00:00;2024-10-10;2903.896240234375
69;hybas_1120641660;2024-10-06;2024-10-06 19:37:44.448023+00:00;2024-10-11;2928.067626953125
70;hybas_1120641660;2024-10-06;2024-10-06 19:37:44.448023+00:00;2024-10-12;2967.680908203125
71;hybas_1120641660;2024-10-06;2024-10-06 19:37:44.448023+00:00;2024-10-13;2983.48388671875
72;hybas_1121905290;2024-09-29;2024-09-29 14:00:51.750916+00:00;2024-09-28;4447.646484375
73;hybas_1121905290;2024-09-29;2024-09-29 14:00:51.750916+00:00;2024-09-29;4508.80712890625
74;hybas_1121905290;2024-09-29;2024-09-29 14:00:51.750916+00:00;2024-09-30;4692.31640625
75;hybas_1121905290;2024-09-29;2024-09-29 14:00:51.750916+00:00;2024-10-01;4665.00830078125
76;hybas_1121905290;2024-09-29;2024-09-29 14:00:51.750916+00:00;2024-10-02;4650.5673828125
