;gaugeId;issue_date;issue_time;fc_date;fc_value
60;hybas_1121890140;2024-10-08;2024-10-08 13:36:54.338073+00:00;2024-10-11;2932.0869140625
61;hybas_1121890140;2024-10-08;2024-10-08 13:36:54.338073+00:00;2024-10-12;2952.5283203125
62;hybas_1121890140;2024-10-08;2024-10-08 13:36:54.338073+00:00;2024-10-13;2945.216796875
63;hybas_1121890140;2024-10-08;2024-10-08 13:36:54.338073+00:00;2024-10-14;2972.64404296875
64;hybas_1121890140;2024-10-09;2024-10-09 13:58:33.967239+00:00;2024-10-08;2941.69873046875
65;hybas_1121890140;2024-10-09;2024-10-09 13:58:33.967239+00:00;2024-10-09;2924.284423828125
66;hybas_1121890140;2024-10-09;2024-10-09 13:58:33.967239+00:00;2024-10-10;2921.440673828125
67;hybas_1121890140;2024-10-09;2024-10-09 13:58:33.967239+00:00;2024-10-11;2951.0029296875
68;hybas_1121890140;2024-10-09;2024-10-09 13:58:33.967239+00:00;2024-10-12;2986.63623046875
69;hybas_1121890140;2024-10-09;2024-10-09 13:58:33.967239+00:00;2024-10-13;2996.513671875
70;hybas_1121890140;2024-10-09;2024-10-09 13:58:33.967239+00:00;2024-10-14;3030.80908203125
71;hybas_1121890140;2024-10-09;2024-10-09 13:58:33.967239+00:00;2024-10-15;3021.4169921875
72;hybas_1121890140;2024-10-10;2024-10-10 13:45:25.783647+00:00;2024-10-09;2894.60791015625
73;hybas_1121890140;2024-10-10;2024-10-10 13:45:25.783647+00:00;2024-10-10;2858.701904296875
74;hybas_1121890140;2024-10-10;2024-10-10 13:45:25.783647+00:00;2024-10-11;2906.271240234375
75;hybas_1121890140;2024-10-10;2024-10-10 13:45:25.783647+00:00;2024-10-12;3018.41796875
76;hybas_1121890140;2024-10-10;2024-10-10 13:45:25.783647+00:00;2024-10-13;3048.61962890625
77;hybas_1121890140;2024-10-10;2024-10-10 13:45:25.783647+00:00;2024-10-14;3055.856201171875
78;hybas_1121890140;2024-10-10;2024-10-10 13:45:25.783647+00:00;2024-10-15;3059.52783203125
79;hybas_1121890140;2024-10-10;2024-10-10 13:45:25.783647+00:00;2024-10-16;3069.62744140625
80;hybas_1121890140;2024-10-11;2024-10-11 14:00:13.123676+00:00;2024-10-10;2893.50732421875
81;hybas_1121890140;2024-10-11;2024-10-11 14:00:13.123676+00:00;2024-10-11;2968.48095703125
82;hybas_1121890140;2024-10-11;2024-10-11 14:00:13.123676+00:00;2024-10-12;3037.455322265625
83;hybas_1121890140;2024-10-11;2024-10-11 14:00:13.123676+00:00;2024-10-13;3106.995849609375
84;hybas_1121890140;2024-10-11;2024-10-11 14:00:13.123676+00:00;2024-10-14;3114.02294921875
85;hybas_1121890140;2024-10-11;2024-10-11 14:00:13.123676+00:00;2024-10-15;3133.49951171875
86;hybas_1121890140;2024-10-11;2024-10-11 14:00:13.123676+00:00;2024-10-16;3126.737060546875
87;hybas_1121890140;2024-10-11;2024-10-11 14:00:13.123676+00:00;2024-10-17;3090.28759765625
88;hybas_1121890140;2024-10-12;2024-10-12 13:56:15.312142+00:00;2024-10-11;2911.644287109375
89;hybas_1121890140;2024-10-12;2024-10-12 13:56:15.312142+00:00;2024-10-12;2992.6826171875
90;hybas_1121890140;2024-10-12;2024-10-12 13:56:15.312142+00:00;2024-10-13;3042.857177734375
91;hybas_1121890140;2024-10-12;2024-10-12 13:56:15.312142+00:00;2024-10-14;3078.749755859375
92;hybas_1121890140;2024-10-12;2024-10-12 13:56:15.312142+00:00;2024-10-15;3103.4443359375
93;hybas_1121890140;2024-10-12;2024-10-12 13:56:15.312142+00:00;2024-10-16;3119.55615234375
94;hybas_1121890140;2024-10-12;2024-10-12 13:56:15.312142+00:00;2024-10-17;3065.281982421875
95;hybas_1121890140;2024-10-12;2024-10-12 13:56:15.312142+00:00;2024-10-18;2998.857421875
96;hybas_1121890140;2024-10-13;2024-10-13 13:42:20.960891+00:00;2024-10-12;2965.83056640625
97;hybas_1121890140;2024-10-13;2024-10-13 13:42:20.960891+00:00;2024-10-13;3014.69189453125
98;hybas_1121890140;2024-10-13;2024-10-13 13:42:20.960891+00:00;2024-10-14;3044.098388671875
99;hybas_1121890140;2024-10-13;2024-10-13 13:42:20.960891+00:00;2024-10-15;3074.941162109375
100;hybas_1121890140;2024-10-13;2024-10-13 13:42:20.960891+00:00;2024-10-16;3084.07958984375
101;hybas_1121890140;2024-10-13;2024-10-13 13:42:20.960891+00:00;2024-10-17;3041.768798828125
102;hybas_1121890140;2024-10-13;2024-10-13 13:42:20.960891+00:00;2024-10-18;2974.954833984375
103;hybas_1121890140;2024-10-13;2024-10-13 13:42:20.960891+00:00;2024-10-19;2933.7041015625
104;hybas_1121890140;2024-10-14;2024-10-14 14:02:03.552581+00:00;2024-10-13;3003.850341796875
105;hybas_1121890140;2024-10-14;2024-10-14 14:02:03.552581+00:00;2024-10-14;3052.1474609375
106;hybas_1121890140;2024-10-14;2024-10-14 14:02:03.552581+00:00;2024-10-15;3067.73876953125
107;hybas_1121890140;2024-10-14;2024-10-14 14:02:03.552581+00:00;2024-10-16;3077.412353515625
108;hybas_1121890140;2024-10-14;2024-10-14 14:02:03.552581+00:00;2024-10-17;3063.015869140625
109;hybas_1121890140;2024-10-14;2024-10-14 14:02:03.552581+00:00;2024-10-18;3020.881591796875
